country,director,genres,language,stars,time,title,url,when,writer
USA,Jon Watts,"Action,Adventure,Sci-Fi",English,"Tom Holland,Zendaya,Benedict Cumberbatch",,"Spider-Man: No Way Home,",https://www.imdb.com/title/tt10872600/,17 December 2021 (USA),"Steve Ditko,Stan Lee"
USA,Ridley Scott,Drama,English,"Matt Damon,Adam Driver,Jodie Comer",,"The Last Duel,",https://www.imdb.com/title/tt4244994/,15 October 2021 (USA),"Ben Affleck,Matt Damon"
"USA,Spain",Steven Spielberg,"Crime,Drama,Musical","English,Spanish","Ansel Elgort,Rachel Zegler,Ariana DeBose",,"West Side Story,",https://www.imdb.com/title/tt3581652/,10 December 2021 (USA),"Tony Kushner,Arthur Laurents"
"USA,France,Japan",Garth Jennings,"Animation,Adventure,Comedy",English,"Matthew McConaughey,Taron Egerton,Tori Kelly",,"Sing 2,",https://www.imdb.com/title/tt6467266/,22 December 2021 (USA),Garth Jennings
USA,Lana Wachowski,"Action,Sci-Fi",English,"Keanu Reeves,Priyanka Chopra,Carrie-Anne Moss",,"The Matrix 4,",https://www.imdb.com/title/tt10838180/,22 December 2021 (USA),"Aleksandar Hemon,David Mitchell"
"USA,Mexico,Canada",Scott Cooper,"Horror,Mystery",English,"Keri Russell,Jesse Plemons,Jeremy T. Thomas",99 min,"Antlers,",https://www.imdb.com/title/tt7740510/,29 October 2021 (USA),"Henry Chaisson,Nick Antosca"
"USA,UK",Dexter Fletcher,"Action,Adventure,Mystery",English,"Robert Downey Jr.,Jared Harris,Jude Law",,"Sherlock Holmes 3,",https://www.imdb.com/title/tt2094116/,22 December 2021 (USA),"Chris Brancato,Arthur Conan Doyle"
,Jeff Tremaine,"Documentary,Action,Comedy",,"Johnny Knoxville,Steve-O,Chris Pontius",,"Jackass 4,",https://www.imdb.com/title/tt11466222/,3 September 2021 (USA),"Jason 'Wee Man' Acuña,Dave England"
USA,"Matt Bettinelli-Olpin,Tyler Gillett","Horror,Mystery,Thriller",English,"Jenna Ortega,Jack Quaid,Courteney Cox",,"Scream,",https://www.imdb.com/title/tt11245972/,14 January 2022 (USA),"Guy Busick,James Vanderbilt"
"China,USA",Simon Kinberg,"Action,Thriller",English,"Jessica Chastain,Lupita Nyong'o,Diane Kruger",,"The 355,",https://www.imdb.com/title/tt8356942/,14 January 2022 (USA),"Theresa Rebeck,Simon Kinberg"
USA,Lisa Joy,"Romance,Sci-Fi,Thriller",,"Rebecca Ferguson,Hugh Jackman,Natalie Martinez",,"Reminiscence,",https://www.imdb.com/title/tt3272066/,3 September 2021 (USA),Lisa Joy
USA,,"Action,Adventure,Crime",,"Danny Trejo,Kevin Sorbo,Isaac C. Singleton Jr.",,"The Street Avenger,",https://www.imdb.com/title/tt10921118/,25 December 2021 (USA),"Matthew Clark ""Ghost"",Tesha Clark"
USA,Kenneth Branagh,"Crime,Drama,Mystery",English,"Tom Bateman,Armie Hammer,Gal Gadot",,"Death on the Nile,",https://www.imdb.com/title/tt7657566/,17 September 2021 (USA),"Agatha Christie,Michael Green"
USA,Mélanie Laurent,"Drama,History,War",English,"Elle Fanning,Dakota Fanning",,"The Nightingale,",https://www.imdb.com/title/tt4540534/,23 December 2021 (USA),"Kristin Hannah,Dana Stevens"
USA,Tom McGrath,"Animation,Adventure,Comedy",English,"James Marsden,Jeff Goldblum,Alec Baldwin",,"The Boss Baby: Family Business,",https://www.imdb.com/title/tt6932874/,17 September 2021 (USA),Marla Frazee
USA,James Wan,"Horror,Thriller",English,"Annabelle Wallis,Maddie Hasson,George Young",,"Malignant,",https://www.imdb.com/title/tt3811906/,10 September 2021 (USA),"Akela Cooper,Akela Cooper"
USA,Patrick Hughes,"Action,Comedy",English,"Kaley Cuoco,Woody Harrelson,Ellen Barkin",,"The Man from Toronto,",https://www.imdb.com/title/tt11671006/,17 September 2021 (USA),"Robbie Fox,Chris Bremner"
USA,Antoine Fuqua,"Sci-Fi,Thriller",English,"Mark Wahlberg,Dylan O'Brien,Chiwetel Ejiofor",,"Infinite,",https://www.imdb.com/title/tt6654210/,24 September 2021 (USA),"Ian Shorr,Todd Stein"
USA,Alan Taylor,"Crime,Drama",English,"Vera Farmiga,Jon Bernthal,Billy Magnussen",,"The Many Saints of Newark,",https://www.imdb.com/title/tt8110232/,24 September 2021 (USA),"Lawrence Konner,David Chase"
USA,Stephen Chbosky,"Drama,Musical",English,"Ben Platt,Julianne Moore,Kaitlyn Dever",,"Dear Evan Hansen,",https://www.imdb.com/title/tt9357050/,24 September 2021 (USA),"Steven Levenson,Benj Pasek"
"Canada,USA",Jason Reitman,"Comedy,Fantasy",English,"Finn Wolfhard,Mckenna Grace,Carrie Coon",,"Ghostbusters: Afterlife,",https://www.imdb.com/title/tt4513678/,11 November 2021 (USA),"Gil Kenan,Jason Reitman"
USA,Chloé Zhao,"Action,Adventure,Drama",English,"Gemma Chan,Angelina Jolie,Salma Hayek",,"Eternals,",https://www.imdb.com/title/tt9032400/,5 November 2021 (USA),"Kaz Firpo,Ryan Firpo"
"Canada,USA",Michael Showalter,"Biography,Drama",English,"Jessica Chastain,Vincent D'Onofrio,Andrew Garfield",,"The Eyes of Tammy Faye,",https://www.imdb.com/title/tt9115530/,24 September 2021 (USA),Abe Sylvia
USA,Jonathan Krisel,"Comedy,Family,Fantasy",English,"Anne Hathaway,Bo Burnham,Chance the Rapper",,"Sesame Street,",https://www.imdb.com/title/tt2224162/,14 January 2022 (USA),"Joan Ganz Cooney,Chris Galletta"
,Reinaldo Marcus Green,Drama,,"Will Smith,Jon Bernthal,Tony Goldwyn",,"King Richard,",https://www.imdb.com/title/tt9620288/,19 November 2021 (USA),Zach Baylin
USA,Ridley Scott,"Crime,Drama,Thriller",English,"Adam Driver,Jared Leto,Al Pacino",,"House of Gucci,",https://www.imdb.com/title/tt11214590/,24 November 2021 (USA),"Roberto Bentivegna,Sara Gay Forden"
USA,Chris McKay,"Animation,Action,Adventure",English,"Will Arnett,Michael Cera",,"The Lego Batman Movie 2,",https://www.imdb.com/title/tt9673190/,4 February 2022 (USA),"Bob Kane,Bill Finger"
USA,Daniel Espinosa,"Action,Adventure,Drama",English,"Jared Leto,Jared Harris,Michael Keaton",,"Morbius,",https://www.imdb.com/title/tt5108870/,21 January 2022 (USA),"Matt Sazama,Burk Sharpless"
"UK,Canada,USA",Walt Becker,"Animation,Adventure,Comedy",English,"Darby Camp,Jack Whitehall,Izaac Wang",,"Clifford the Big Red Dog,",https://www.imdb.com/title/tt2397461/,5 November 2021 (USA),"Jay Scherick,David Ronn"
"USA,Colombia","Jared Bush,Charise Castro Smith,1 more credit","Animation,Adventure,Comedy",English,,,"Encanto,",https://www.imdb.com/title/tt12537368/,24 November 2021 (USA),"Jared Bush,Charise Castro Smith"
USA,Christopher McQuarrie,"Action,Adventure,Thriller",English,"Vanessa Kirby,Tom Cruise,Hayley Atwell",,"Mission: Impossible 7,",https://www.imdb.com/title/tt9603212/,19 November 2021 (USA),"Bruce Geller,Christopher McQuarrie"
USA,Ruben Fleischer,"Action,Adventure",English,"Tom Holland,Mark Wahlberg,Antonio Banderas",,"Uncharted,",https://www.imdb.com/title/tt1464335/,11 February 2022 (USA),"Art Marcum,Matt Holloway"
USA,Kat Coiro,"Comedy,Music,Romance",English,"Owen Wilson,Jennifer Lopez,Sarah Silverman",,"Marry Me,",https://www.imdb.com/title/tt10223460/,11 February 2022 (USA),"Harper Dill,Bobby Crosby"
"USA,Australia,Canada",Hamish Grieve,"Animation,Comedy,Family",English,"Ben Schwartz,Terry Crews,Will Arnett",,"Rumble,",https://www.imdb.com/title/tt8337158/,18 February 2022 (USA),Matt Lieberman
USA,Michael Bay,"Action,Drama,Thriller",,"Eiza González,Jake Gyllenhaal,Garret Dillahunt",,"Ambulance,",https://www.imdb.com/title/tt4998632/,18 February 2022 (USA),"Chris Fedak,Laurits Munch-Petersen"
